"Name","Team","Ht","GP","MINS","OPPM","DPPM","PPM","PTS","ORB","DRB","AST","STL","BLK","TOV","PF","RIMA","RIM.","MIDA","MID.","TPA","TP.","FTA","FT.","TS.","eFG."
"Carey Booth","Notre Dame","6-10",32,640.184,-0.6,1.4,0.8,11.8,1.3,6.7,0.7,0.4,1.3,1.4,2.3,1.9,0.706,2.2,0.395,6.6,0.296,2.3,0.634,0.499,0.481
"Sam Alamutu","Vermont","6-5",32,500,0.8,0,0.8,9.7,3.6,6.8,1.9,0.9,1,1.1,2.8,5.6,0.627,0.7,0.333,1,0.357,1.9,0.6,0.592,0.587
"Carter Gilmore","Wisconsin","6-7",33,304.55,0.7,0.1,0.8,7.2,2.6,2.9,1.9,0.4,0.1,1.9,4.7,2.7,0.565,0.5,0.75,1.4,0.25,2.9,0.792,0.595,0.526
"Christian Tucker","UTSA","6-3",31,1029.249,2.2,-1.4,0.8,11.1,0.4,2.5,5.4,1.1,0.3,2.1,2.6,3.4,0.495,1.3,0.45,3.1,0.284,4.5,0.879,0.561,0.46
"Jordan Longino","Villanova","6-5",29,623.985,0.8,0,0.8,11.5,1.1,3.3,2.7,1.4,0.4,1.7,3.2,2.7,0.545,2.4,0.425,4.8,0.325,2.2,0.833,0.525,0.488
"Alvaro Cardenas","San Jose St.","6-1",29,1030.433,2.7,-1.9,0.8,13.3,0.5,2.7,5.5,0.9,0.1,2,2.1,4.6,0.557,2.6,0.356,3.9,0.384,2.2,0.81,0.546,0.517
"Brandon Angel","Stanford","6-8",29,887.917,2.1,-1.3,0.8,14.1,0.8,4.3,1.8,0.6,0.3,1.9,2.3,4.9,0.682,1.2,0.387,2.7,0.437,3.7,0.818,0.673,0.634
"Ezra Manjon","Vanderbilt","6-0",30,940.448,2.6,-1.8,0.8,16.7,0.6,3.1,4.4,1.3,0.2,2.4,1.6,5.9,0.551,5.6,0.378,1.7,0.318,5.2,0.826,0.532,0.468
"Alonzo Gaffney","Arizona St.","6-9",32,820.167,-1,1.8,0.8,8.3,1,3.7,1.8,1.3,1.6,1.2,4.2,1.6,0.718,1.7,0.366,5.6,0.252,1,0.522,0.443,0.437
"Dion Brown","UMBC","6-3",29,950.718,2.5,-1.7,0.8,19.1,2.6,5.1,2.5,1.2,0.5,3,2.6,5.3,0.686,5.9,0.463,4,0.347,3,0.761,0.577,0.556
"Adam Cisse","Maine","6-10",29,486.833,-1.8,2.6,0.8,7.9,2.4,6.5,1.3,0.9,3,1.9,4.8,5.6,0.539,0.5,0.143,0,0,2.7,0.611,0.529,0.506
