"Team","Ortg","DRTG","Rtg","EFG%","dEFG%","TO%","dTO%","ORB%","DRB%","FTR","dFTR"
"South Fla.",-2.3,0.6,-1.7,49.9,49,16.3,17.3,23.6,71.2,33.7,33.4
"California Baptist",-1.2,-0.5,-1.8,48.3,50.6,16.6,16.7,30.8,73.3,28.9,30.8
"Jacksonville",-3.8,2,-1.8,48.7,50.5,18.3,18.4,30.1,72.6,29.3,34.4
"San Jose St.",0.7,-2.6,-1.9,50.1,50.7,16.3,16.1,25.1,71,30.4,27.5
"Idaho St.",0.3,-2.3,-2,47.3,52.7,16.2,17.2,35.5,74.2,31.9,31.2
"Indiana St.",2,-3.9,-2,53,52.5,18.4,15.8,24.2,74.7,33.5,35.7
"Kennesaw St.",-3.4,1.4,-2,49.2,47.8,18.8,15.4,29.5,76.4,35.9,39.9
"Virginia Tech",-0.1,-2,-2.1,51.1,51,18.7,16.5,28.2,74.7,30.2,30
"Delaware",3.3,-5.5,-2.2,53.7,52.5,16,15.8,19.4,72.1,29.7,31.3
"Vermont",-3.1,0.9,-2.2,48.8,48.7,16.1,15.7,22.4,76.2,30.3,28.7
"App State",-4.5,2.2,-2.3,49,46.6,16.8,14.9,24.7,74.5,32.6,24.4
"Portland St.",-4.6,2.3,-2.3,48.5,49.3,17.8,18.1,31.2,71.9,31,33.4
"Columbia",1,-3.4,-2.4,51.6,54.8,16.3,16.4,23.5,74.4,29.7,27.5
"Little Rock",-5.8,3.4,-2.4,48.7,47.7,18.4,19.5,27.7,68.1,28.1,35.1
"Rice",-0.9,-1.4,-2.4,48.3,48.3,16.9,14.4,29.4,73.9,39,32.5
"Northeastern",-2.9,0.4,-2.5,49.9,50.5,18,17.6,27.5,72.3,29.1,31.1
"Valparaiso",-0.5,-2.2,-2.6,47.4,51.9,14.4,16.4,25,74,31.9,33.1
"Southeastern La.",-2.1,-0.6,-2.7,48.3,51.1,16.4,17.5,27.9,74.7,33.6,35.3
"Western Ky.",-4.3,1.6,-2.7,48.7,47.5,15.6,16.2,21.8,73.7,30,36
"Wright St.",2.2,-4.9,-2.7,53.8,52.6,17.2,14.8,24,73.7,27.1,32.1
"Central Mich.",-1.8,-1,-2.8,48.6,51.7,16.5,17.8,28,73.6,33.5,30.3
"UTRGV",0.4,-3.2,-2.8,51,51.1,17.8,17,27,70.2,24.9,29.7
"Cal Poly",0.6,-3.5,-2.9,53.4,51.9,19.7,17.6,25.9,69,26.7,29.9
"Northern Ariz.",0,-2.9,-2.9,48.7,52.2,15.8,15.2,27.8,76.8,28.4,32.7
"Hampton",-2.5,-0.5,-3,47.2,51.1,15.6,17.7,30.9,74.4,30.7,39.9
"Longwood",-0.9,-2.1,-3,49.7,54.6,17.6,19,28.1,74.5,40.9,34.6
"Pepperdine",-0.6,-2.4,-3,49.7,50.8,16,15.3,25.3,73.5,31.5,27.5
"Southern Ill.",-1.1,-2,-3.1,50.5,50.7,17.8,15.2,29.4,75.2,32.6,32.5
